model,MAE,RMSE,R2,R2_log
Random Forest,57.83807901500297,77.15823982777137,0.40456713130088484,0.6342285586320457
XGBoost,56.32150348487201,75.3062656839913,0.43280759670930324,0.6492328407001553
Stacking Ensemble,56.44297166701977,75.38601124220622,0.431605704061343,0.6477633997709384
